ano,temperatura,pH,milho,sacarose,boa
1987,53.3,7.83,Comum,14.82,1
1987,63,7.1,BRS3046,70.71,0
1987,58,7.12,BRS3046,65.81,0
1987,67.5,7.41,Comum,8.51,1
1987,61.1,7.77,BRS3046,60.14,0
1987,58.9,7.61,BRS3046,73.29,0
1987,55.6,7.72,BRS3046,61.61,0
1987,63.2,7.98,BRS3046,87.37,0
1987,60.5,7.34,Comum,8.85,1
1987,58.9,7.66,BRS3046,66.54,0
1987,57.6,7.71,BRS3046,63.82,0
1987,55.7,7.34,BRS3046,59.8,0
1987,60.3,7.45,Comum,14.65,1
1987,55.8,7.82,BRS3046,72.43,0
1987,56.9,7.41,BRS3046,69.14,0
1987,64.2,7.54,BRS3046,70.29,0
1987,58.6,7.7,BRS3046,71.28,0
1987,56,7.33,BRS3046,63.27,0
1987,54.4,7.56,BRS3046,66.59,0
1987,62.3,7.64,BRS3046,69.15,0
1987,58.7,7.8,BRS3046,67.6,0
1987,56,7.41,Comum,8.1,1
1987,60.6,7.11,BRS3046,91.29,0
1987,66.4,7.1,BRS3046,75.14,0
1987,54.9,7.71,BRS3046,73.58,0
1987,59.3,7.38,BRS3046,71.41,0
1987,58.2,7.23,BRS3046,70.2,0
1987,57,7.76,BRS3046,65.87,0
1987,52.1,7.77,BRS3046,64.2,0
1987,59.2,7.19,BRS3046,79.8,0
1987,59.6,7.5,BRS3046,78.22,0
1987,57.2,7.29,BRS3046,64.95,0
1987,59.7,7.4,BRS3046,73.16,0
1987,62.6,7.76,Comum,10.28,1
1987,59.6,7.19,Comum,8.87,1
1987,56.8,7.23,BRS3046,61.65,0
1987,59.2,7.7,BRS3046,65.3,0
1987,62.6,7.09,BRS3046,71.65,0
1987,56.4,7.19,BRS3046,90.27,0
1987,55.1,7.97,BRS3046,58.97,0
1987,62.8,7.88,BRS3046,77.24,0
1987,56.2,7.26,BRS3046,67.08,0
1987,64.2,7.55,BRS3046,62.68,0
1987,65.3,7.85,BRS3046,92.63,0
1987,63.2,7.3,BRS3046,58.25,0
1987,57.3,7.93,BRS3046,62.52,0
1987,60.6,7.97,Comum,13.6,1
1987,62.9,7.66,BRS3046,69.32,0
1987,64.6,7.91,Comum,9.67,1
1987,52.7,7.93,BRS3046,74.18,0
1987,61.9,7.94,BRS3046,79.15,0
1987,59.2,7.19,Comum,9.37,1
1987,65.9,7.39,BRS3046,77.99,0
1987,61.7,7.63,BRS3046,65.35,0
1987,61.1,7.19,Comum,9.05,1
1987,59,7.79,Comum,13.68,1
1987,60.5,7.52,Comum,9.62,1
1987,56.3,7.36,BRS3046,54.71,0
1987,60.6,7.54,BRS3046,64.69,0
1987,57.2,7.54,Comum,8.48,1
1987,59.3,7.02,BRS3046,66.32,0
1987,60.9,7.75,Comum,8.72,1
1987,73.3,7.19,BRS3046,71.95,0
1987,57.1,7.33,Comum,9.35,1
1987,67.2,7.4,Comum,8.23,1
1987,58.2,7.58,Comum,8.29,1
1987,62.2,7.47,Comum,8.89,1
1987,56.1,7.4,BRS3046,76.59,0
